,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
1450,GO:0003677,1.18075621977707e-15,1,94,1913,DNA binding,MF,TIPARP;HES1;SNAI2;IVNS1ABP;MYC;ZNF57;HR;HES2;ZNF557;HIST1H2AG;ZNF750;ZNF419;HIST1H4L;ZNF222;ZNF561;POU3F1;ZNF526;ZNF841;ZNF574;TFCP2L1;TIGD5;BRPF1;NR2F2;ZNF696;HOXA9;SURF6;HIST1H2BJ;ZFP36L2;ZNF398;FOS;ZNF256;ZNF416;HIST1H2BI;FOXQ1;ZNF3;ZKSCAN4;POLR1D;ZNF200;HIST1H3J;HIST1H2AB;ZNF549;ZNF570;ZNF93;HJURP;UPF1;ZBTB7B;ZNF581;HIST1H4B;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;HIST1H2BO;ZBTB34;ZNF780A;JRK;ZNF275;GZF1;ZNF160;TGIF1;HIST1H2BE;ZNF169;ZNF783;SOX15;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;PHC2;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;HIST2H2BE;TRIM26;NACC2;HIC1;HIST3H2BB;ZNF16;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;KLF16;HIST1H2AH;ZNF14;DCLRE1C;IRX5
12919,GO:0051252,3.0668144373149e-12,1,117,3024,regulation of RNA metabolic process,BP,ID1;HES1;SNAI2;TSC22D3;CDK5R1;IVNS1ABP;SERTAD3;IRF2BPL;TXNIP;SERPINE1;MYC;ZNF503;ID3;ZNF57;CYP1B1;HR;HES2;NOG;SERTAD1;ZNF557;HIST1H2AG;ZNF750;HSPB1;ZNF419;ZNF296;HIST1H4L;FHL2;ZNF222;ZNF561;RBAK;POU3F1;GDNF;ZNF526;ZNF841;ZNF574;AHNAK2;TFCP2L1;BAG3;BRPF1;NR2F2;ZNF696;HOXA9;ZFP36L2;BCDIN3D;ZNF398;FOS;ZNF256;RNF168;ZNF416;RBM15;FOXQ1;ZNF3;ZKSCAN4;COL1A1;TOB1;ZNF200;HIST1H3J;TLE3;HIST1H2AB;ADGRF1;ZNF549;MN1;PAK6;ZNF570;ZNF93;SIAH2;UPF1;AKIRIN2;ZBTB7B;ESRP2;ZNF581;SEC14L2;HIST1H4B;PIK3R1;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;KCTD1;ZBTB34;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;ZNF783;SOX15;CIPC;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;TRIM26;NACC2;HIC1;ZNF16;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;NOTCH3;KLF16;CLU;HIST1H2AH;ZNF14;IRX5
16714,GO:0097659,3.68851455140466e-12,1,116,2989,nucleic acid-templated transcription,BP,ID1;HES1;SNAI2;TSC22D3;CDK5R1;IVNS1ABP;SERTAD3;IRF2BPL;TXNIP;SERPINE1;MYC;ZNF503;ID3;ZNF57;CYP1B1;HR;HES2;NOG;SERTAD1;ZNF557;HIST1H2AG;ZNF750;ZNF419;ZNF296;HIST1H4L;FHL2;ZNF222;ZNF561;RBAK;POU3F1;GDNF;ZNF526;ZNF841;ZNF574;CTGF;TFCP2L1;BAG3;BRPF1;NR2F2;ZNF696;HOXA9;ZFP36L2;ZNF398;FOS;ZNF256;RNF168;ZNF416;CD3EAP;RBM15;FOXQ1;ZNF3;ZKSCAN4;POLR1D;COL1A1;TOB1;ZNF200;HIST1H3J;TLE3;HIST1H2AB;ADGRF1;ZNF549;MN1;PAK6;ZNF570;ZNF93;SIAH2;SWT1;AKIRIN2;ZBTB7B;ZNF581;SEC14L2;HIST1H4B;PIK3R1;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;KCTD1;ZBTB34;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;ZNF783;SOX15;CIPC;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;TRIM26;NACC2;HIC1;ZNF16;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;NOTCH3;KLF16;CLU;HIST1H2AH;ZNF14;IRX5
18442,GO:1903506,4.2893512679152e-12,1,112,2846,regulation of nucleic acid-templated transcription,BP,ID1;HES1;SNAI2;TSC22D3;CDK5R1;IVNS1ABP;SERTAD3;IRF2BPL;TXNIP;SERPINE1;MYC;ZNF503;ID3;ZNF57;CYP1B1;HR;HES2;NOG;SERTAD1;ZNF557;HIST1H2AG;ZNF750;ZNF419;ZNF296;HIST1H4L;FHL2;ZNF222;ZNF561;RBAK;POU3F1;GDNF;ZNF526;ZNF841;ZNF574;TFCP2L1;BAG3;BRPF1;NR2F2;ZNF696;HOXA9;ZFP36L2;ZNF398;FOS;ZNF256;RNF168;ZNF416;RBM15;FOXQ1;ZNF3;ZKSCAN4;COL1A1;TOB1;ZNF200;HIST1H3J;TLE3;HIST1H2AB;ADGRF1;ZNF549;MN1;PAK6;ZNF570;ZNF93;SIAH2;AKIRIN2;ZBTB7B;ZNF581;SEC14L2;HIST1H4B;PIK3R1;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;KCTD1;ZBTB34;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;ZNF783;SOX15;CIPC;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;TRIM26;NACC2;HIC1;ZNF16;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;NOTCH3;KLF16;CLU;HIST1H2AH;ZNF14;IRX5
20239,GO:2001141,4.50643987048023e-12,1,112,2848,regulation of RNA biosynthetic process,BP,ID1;HES1;SNAI2;TSC22D3;CDK5R1;IVNS1ABP;SERTAD3;IRF2BPL;TXNIP;SERPINE1;MYC;ZNF503;ID3;ZNF57;CYP1B1;HR;HES2;NOG;SERTAD1;ZNF557;HIST1H2AG;ZNF750;ZNF419;ZNF296;HIST1H4L;FHL2;ZNF222;ZNF561;RBAK;POU3F1;GDNF;ZNF526;ZNF841;ZNF574;TFCP2L1;BAG3;BRPF1;NR2F2;ZNF696;HOXA9;ZFP36L2;ZNF398;FOS;ZNF256;RNF168;ZNF416;RBM15;FOXQ1;ZNF3;ZKSCAN4;COL1A1;TOB1;ZNF200;HIST1H3J;TLE3;HIST1H2AB;ADGRF1;ZNF549;MN1;PAK6;ZNF570;ZNF93;SIAH2;AKIRIN2;ZBTB7B;ZNF581;SEC14L2;HIST1H4B;PIK3R1;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;KCTD1;ZBTB34;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;ZNF783;SOX15;CIPC;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;TRIM26;NACC2;HIC1;ZNF16;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;NOTCH3;KLF16;CLU;HIST1H2AH;ZNF14;IRX5
8096,GO:0032774,4.67266102575596e-12,1,116,2999,RNA biosynthetic process,BP,ID1;HES1;SNAI2;TSC22D3;CDK5R1;IVNS1ABP;SERTAD3;IRF2BPL;TXNIP;SERPINE1;MYC;ZNF503;ID3;ZNF57;CYP1B1;HR;HES2;NOG;SERTAD1;ZNF557;HIST1H2AG;ZNF750;ZNF419;ZNF296;HIST1H4L;FHL2;ZNF222;ZNF561;RBAK;POU3F1;GDNF;ZNF526;ZNF841;ZNF574;CTGF;TFCP2L1;BAG3;BRPF1;NR2F2;ZNF696;HOXA9;ZFP36L2;ZNF398;FOS;ZNF256;RNF168;ZNF416;CD3EAP;RBM15;FOXQ1;ZNF3;ZKSCAN4;POLR1D;COL1A1;TOB1;ZNF200;HIST1H3J;TLE3;HIST1H2AB;ADGRF1;ZNF549;MN1;PAK6;ZNF570;ZNF93;SIAH2;SWT1;AKIRIN2;ZBTB7B;ZNF581;SEC14L2;HIST1H4B;PIK3R1;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;KCTD1;ZBTB34;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;ZNF783;SOX15;CIPC;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;TRIM26;NACC2;HIC1;ZNF16;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;NOTCH3;KLF16;CLU;HIST1H2AH;ZNF14;IRX5
2860,GO:0006351,6.37390564549422e-12,1,115,2975,transcription, DNA-templated,BP,ID1;HES1;SNAI2;TSC22D3;CDK5R1;IVNS1ABP;SERTAD3;IRF2BPL;TXNIP;SERPINE1;MYC;ZNF503;ID3;ZNF57;CYP1B1;HR;HES2;NOG;SERTAD1;ZNF557;HIST1H2AG;ZNF750;ZNF419;ZNF296;HIST1H4L;FHL2;ZNF222;ZNF561;RBAK;POU3F1;GDNF;ZNF526;ZNF841;ZNF574;CTGF;TFCP2L1;BAG3;BRPF1;NR2F2;ZNF696;HOXA9;ZFP36L2;ZNF398;FOS;ZNF256;RNF168;ZNF416;CD3EAP;RBM15;FOXQ1;ZNF3;ZKSCAN4;POLR1D;COL1A1;TOB1;ZNF200;HIST1H3J;TLE3;HIST1H2AB;ADGRF1;ZNF549;MN1;PAK6;ZNF570;ZNF93;SWT1;AKIRIN2;ZBTB7B;ZNF581;SEC14L2;HIST1H4B;PIK3R1;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;KCTD1;ZBTB34;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;ZNF783;SOX15;CIPC;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;TRIM26;NACC2;HIC1;ZNF16;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;NOTCH3;KLF16;CLU;HIST1H2AH;ZNF14;IRX5
2864,GO:0006355,6.93257758567342e-12,1,111,2829,regulation of transcription, DNA-templated,BP,ID1;HES1;SNAI2;TSC22D3;CDK5R1;IVNS1ABP;SERTAD3;IRF2BPL;TXNIP;SERPINE1;MYC;ZNF503;ID3;ZNF57;CYP1B1;HR;HES2;NOG;SERTAD1;ZNF557;HIST1H2AG;ZNF750;ZNF419;ZNF296;HIST1H4L;FHL2;ZNF222;ZNF561;RBAK;POU3F1;GDNF;ZNF526;ZNF841;ZNF574;TFCP2L1;BAG3;BRPF1;NR2F2;ZNF696;HOXA9;ZFP36L2;ZNF398;FOS;ZNF256;RNF168;ZNF416;RBM15;FOXQ1;ZNF3;ZKSCAN4;COL1A1;TOB1;ZNF200;HIST1H3J;TLE3;HIST1H2AB;ADGRF1;ZNF549;MN1;PAK6;ZNF570;ZNF93;AKIRIN2;ZBTB7B;ZNF581;SEC14L2;HIST1H4B;PIK3R1;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;KCTD1;ZBTB34;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;ZNF783;SOX15;CIPC;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;TRIM26;NACC2;HIC1;ZNF16;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;NOTCH3;KLF16;CLU;HIST1H2AH;ZNF14;IRX5
1461,GO:0003700,4.84439576556986e-11,1,58,1084,DNA binding transcription factor activity,MF,ID1;HES1;SNAI2;TSC22D3;IVNS1ABP;MYC;ID3;HR;HES2;ZNF557;ZNF750;ZNF419;ZNF222;ZNF561;RBAK;POU3F1;ZNF841;TFCP2L1;NR2F2;ZNF696;HOXA9;ZFP36L2;ZNF398;FOS;ZNF256;ZNF416;FOXQ1;ZNF3;ZKSCAN4;ZNF200;ZNF549;ZNF570;ZNF93;ZBTB7B;ZNF776;SOX9;ERF;CEBPA;ZNF530;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;SOX15;NR1D1;ZNF589;HOXA5;ZNF672;NACC2;HIC1;ZNF16;SOX12;ZNF701;KLF16;ZNF14;IRX5
19764,GO:2000112,7.21878567913651e-11,1,118,3207,regulation of cellular macromolecule biosynthetic process,BP,ID1;RGS2;HES1;SNAI2;TSC22D3;CDK5R1;IVNS1ABP;SERTAD3;IRF2BPL;TXNIP;SERPINE1;MYC;ZNF503;ID3;ZNF57;CYP1B1;HR;HES2;NOG;SERTAD1;PPP1R3D;ZNF557;HIST1H2AG;ZNF750;HSPB1;ZNF419;ZNF296;HIST1H4L;FHL2;ZNF222;ZNF561;RBAK;POU3F1;GDNF;ZNF526;ZNF841;ZNF574;TFCP2L1;BAG3;BRPF1;NR2F2;ZNF696;HOXA9;ZFP36L2;BCDIN3D;ZNF398;FOS;ZNF256;RNF168;ZNF416;RBM15;FOXQ1;ZNF3;ZKSCAN4;COL1A1;TOB1;ZNF200;HIST1H3J;TLE3;HIST1H2AB;ADGRF1;ZNF549;MN1;PAK6;ZNF570;ZNF93;UPF1;AKIRIN2;ZBTB7B;ZNF581;SEC14L2;HIST1H4B;PIK3R1;IMP3;ZNF776;SOX9;ERF;CEBPA;ZNF530;CIART;KCTD1;ZBTB34;ZNF780A;ZNF275;GZF1;ZNF160;TGIF1;ZNF169;ZNF783;SOX15;CIPC;NR1D1;ING2;ZNF589;HIST1H1C;HOXA5;HIST1H1D;HIST1H4K;PER2;ZNF672;BRF2;TRIM26;NACC2;HIC1;ZNF16;KRT17;SOX12;ZNF766;ZNF701;ZNF845;ZNF510;HIST1H4D;NOTCH3;KLF16;CLU;HIST1H2AH;ZNF14;IRX5
