,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
8595,GO:0034097,3.15310120246454e-14,1,122,814,response to cytokine,BP,IL32;SAA1;CCL20;MMP9;RUNX1;FN1;ACTG1;IL16;IL1R2;PML;CYLD;MYBL2;TRAF1;RELB;TFRC;SOD2;HLA-B;CSF2;PTGES;MAP3K14;EDN1;GBP1;MAT2A;TRIM56;IKBKE;BIRC3;MID1;DAPK3;RSAD2;TRAF3;NLRC5;TP53;SQSTM1;IL24;IL27RA;NFKB1;IRS1;CDKN1A;TJP2;JUNB;TNF;CXCL16;PTPN14;NFKB2;PSMB9;FOSL1;TYMS;ZC3H12A;LCP1;ICAM1;CD274;CDK4;CDC42EP2;STAT5A;IL20;TNFRSF12A;IFNGR1;MCM2;XAF1;RELT;LIF;SFRP1;TRIM22;HLA-F;IRF1;PSME2;IL7R;GPER1;SRF;NFKBIA;EGR1;ETS1;ZFP36L1;ADAM17;TXLNA;IRS2;TRAF2;IL15;PRKCA;ZFP36L2;SYK;ROBO1;IFIT3;PDGFB;OXTR;SNRNP70;DPYSL3;SPPL2A;NPNT;IL1A;GPR75;TNFRSF21;TNIP2;ACSL1;ACKR3;SMAD7;KEAP1;HNRNPU;HNRNPF;PARP14;CXCL5;SOCS1;HSPA8;JUN;CCR6;TNFRSF10A;RAPGEF1;ZYX;CD38;TNFAIP3;PSMC3;CCL22;CXCL8;MAPK11;CXCL3;SRSF7;NOL3;GCLC;HSP90AB1;IL6R;IL36G;CCL5
6864,GO:0030334,8.60251579589493e-14,1,92,538,regulation of cell migration,BP,IGFBP3;CCL20;NRG1;MMP9;CYR61;PTGER4;HDAC9;FN1;CYP1B1;AMOT;HSPB1;STARD13;SDC4;SOD2;TGFB2;EDN1;DAPK3;EMP2;TP53;MARVELD3;IL24;ADAMTS9;LYN;TNF;CORO1C;CXCL16;PDPN;ZC3H12A;FLNA;EPHA2;ICAM1;CD274;BMP2;ITGAV;STAT5A;MTUS1;SERPINE1;AMOTL2;SFRP1;TPM1;EPPK1;GPER1;SRF;DOCK10;ETS1;SGK1;SNAI2;RHOB;ADAM17;FGFR1OP;VCL;IRS2;LGALS3;PRKCA;NTN1;ROBO1;AJUBA;PDGFB;DPYSL3;IL1A;SEMA3C;TBCCD1;RCC2;ACKR3;SMAD7;MTA2;TRIP6;CLASP1;TRIB1;CREB3;CXCL5;CITED2;JUN;GLIPR2;ZNF703;CCR6;GPNMB;ACTN4;BMP7;PHLDB2;MYADM;DAG1;WNT4;CXCL8;EFNA1;CXCL3;CARD10;SWAP70;TBXA2R;MCAM;IL6R;CCL5
4336,GO:0009888,2.51040120972119e-13,1,163,1231,tissue development,BP,KRT1;SPRR3;TRIM16;SPRR2A;NRG1;MMP9;KRT2;RUNX1;CYR61;INHBA;HDAC9;FN1;CYP1B1;CTGF;KRT34;ADM;KRT15;FOSL2;JPH2;KRT4;TUFT1;CYP1A1;PML;TFCP2L1;STARD13;KRT10;SDC4;KRT13;WNT10A;IRX2;TGFB2;EDN1;TXNRD1;B4GALT1;KRTAP2-3;G6PD;HRNR;SIPA1L3;KRT9;HNRNPAB;FST;LFNG;KRT6A;CDKN1A;TJP2;ADAMTS9;JUNB;TNF;COL12A1;EFNB2;KRT5;CORO1C;TNC;PDPN;FGFR2;PBX1;COL4A1;PSMB9;KRT17;TYMS;FLNA;EPHA2;TSC22D3;ICAM1;BMP2;UBE4B;COL27A1;CDK4;ITGAV;ERRFI1;SFN;ADRB2;SVIL;IL20;SERPINE1;PGK1;ELF3;LIF;OSR2;SFRP1;TPM1;CC2D2A;SAFB2;WDR1;PSME2;LUC7L;EPPK1;TFIP11;SRF;NSUN2;EGR1;EDF1;SNAI2;ZFP36L1;RHOB;ADAM17;GPCPD1;VCL;RIPK4;KRT14;LGALS3;AKR1C2;NTN1;DDX17;ROBO1;AJUBA;PDGFB;SERPINH1;FHL2;NOM1;COL17A1;NPNT;SEMA3C;ROR1;COL5A2;MAFF;BAMBI;SMAD7;KEAP1;HNRNPU;TJP1;CLASP1;CAPNS1;VSIG1;ETS2;KLF10;MARVELD2;DUSP1;CITED2;CD109;FRAS1;JUN;ESR1;IKZF3;TCOF1;FOXN1;GLIPR2;CPT1A;ZNF703;RPTN;ARRDC3;LAMC1;GPNMB;EFNB1;SORBS2;BMP7;PHLDB2;RAPGEF1;MYADM;DAG1;TIMELESS;WNT4;RILPL2;AKR1C1;VPS52;PSMC3;EFNA1;MAPK11;MYO1E;BMP8A;BIN3;TP63;PHACTR4
9793,GO:0040012,5.18306242452342e-13,1,99,617,regulation of locomotion,BP,IGFBP3;CCL20;NRG1;MMP9;CYR61;PTGER4;HDAC9;FN1;CYP1B1;AMOT;IL16;PML;HSPB1;STARD13;SDC4;SOD2;TGFB2;EDN1;DAPK3;EMP2;TP53;MARVELD3;IL24;ADAMTS9;LYN;TNF;EFNB2;CORO1C;CXCL16;PDPN;ZC3H12A;FLNA;EPHA2;ICAM1;CD274;BMP2;ITGAV;STAT5A;MTUS1;SERPINE1;AMOTL2;SFRP1;TPM1;EPPK1;GPER1;SRF;DOCK10;ETS1;SGK1;SNAI2;RHOB;ADAM17;FGFR1OP;VCL;IRS2;LGALS3;PRKCA;NTN1;ROBO1;AJUBA;PDGFB;DPYSL3;IL1A;SEMA3C;TBCCD1;RCC2;ACKR3;SMAD7;MTA2;TRIP6;CLASP1;TRIB1;CREB3;CXCL5;CITED2;JUN;GLIPR2;CHMP4B;ZNF703;CCR6;ARRDC3;GPNMB;ZSWIM6;ACTN4;BMP7;PHLDB2;MYADM;DAG1;WNT4;CXCL8;EFNA1;CLDN7;CXCL3;CARD10;SWAP70;TBXA2R;MCAM;IL6R;CCL5
19754,GO:2000145,9.04217148408493e-13,1,93,569,regulation of cell motility,BP,IGFBP3;CCL20;NRG1;MMP9;CYR61;PTGER4;HDAC9;FN1;CYP1B1;AMOT;HSPB1;STARD13;SDC4;SOD2;TGFB2;EDN1;DAPK3;EMP2;TP53;MARVELD3;IL24;ADAMTS9;LYN;TNF;CORO1C;CXCL16;PDPN;ZC3H12A;FLNA;EPHA2;ICAM1;CD274;BMP2;ITGAV;STAT5A;MTUS1;SERPINE1;AMOTL2;SFRP1;TPM1;EPPK1;GPER1;SRF;DOCK10;ETS1;SGK1;SNAI2;RHOB;ADAM17;FGFR1OP;VCL;IRS2;LGALS3;PRKCA;NTN1;ROBO1;AJUBA;PDGFB;DPYSL3;IL1A;SEMA3C;TBCCD1;RCC2;ACKR3;SMAD7;MTA2;TRIP6;CLASP1;TRIB1;CREB3;CXCL5;CITED2;JUN;GLIPR2;ZNF703;CCR6;GPNMB;ACTN4;BMP7;PHLDB2;MYADM;DAG1;WNT4;CXCL8;EFNA1;CLDN7;CXCL3;CARD10;SWAP70;TBXA2R;MCAM;IL6R;CCL5
5515,GO:0016477,3.18906006606867e-12,1,125,882,cell migration,BP,IGFBP3;SAA1;CCL20;NRG1;MMP9;KRT2;CYR61;PTGER4;HDAC9;S100P;FN1;CYP1B1;CTGF;TNS3;AMOT;IL16;PML;HSPB1;STARD13;SDC4;SOD2;TGFB2;EDN1;DAPK3;B4GALT1;EMP2;TP53;MARVELD3;IL24;NEDD9;ADAMTS9;LYN;TNF;EFNB2;CORO1C;CXCL16;WWC1;PDPN;SLC7A5;SIRPA;ZC3H12A;FLNA;LCP1;TNK1;EPHA2;ICAM1;CD274;BMP2;ITGAV;L1CAM;STAT5A;TNFRSF12A;MTUS1;SERPINE1;AMOTL2;SFRP1;TPM1;WDR1;EPPK1;THBD;GPER1;SRF;DOCK10;ETS1;SGK1;SNAI2;RHOB;ADAM17;FGFR1OP;VCL;IRS2;LGALS3;PRKCA;NTN1;SYK;ROBO1;AJUBA;PDGFB;DPYSL3;MYH9;IL1A;SEMA3C;TBCCD1;RCC2;ACKR3;BAMBI;SMAD7;MTA2;TRIP6;CLASP1;TRIB1;CREB3;PPP1R9B;CXCL5;CITED2;JUN;FOXN1;GLIPR2;ZNF703;CCR6;LAMC1;RHOG;GPNMB;GP6;ACTN4;EFNB1;BMP7;TNFRSF10A;PHLDB2;MYADM;DAG1;WNT4;CCL22;CXCL8;EFNA1;SLC3A2;CXCL3;CARD10;SWAP70;TBXA2R;MCAM;IL6R;BIN3;PHACTR4;CCL5
12920,GO:0051270,4.15476099255401e-12,1,96,612,regulation of cellular component movement,BP,IGFBP3;CCL20;NRG1;MMP9;CYR61;PTGER4;HDAC9;FN1;CYP1B1;AMOT;HSPB1;STARD13;SDC4;SOD2;TGFB2;EDN1;DAPK3;B4GALT1;EMP2;TP53;MARVELD3;IL24;ADAMTS9;LYN;LAMP1;TNF;CORO1C;CXCL16;PDPN;ZC3H12A;FLNA;EPHA2;ICAM1;CD274;BMP2;ITGAV;STAT5A;MTUS1;SERPINE1;AMOTL2;SFRP1;TPM1;EPPK1;GPER1;SRF;DOCK10;ETS1;SGK1;SNAI2;RHOB;ADAM17;FGFR1OP;VCL;IRS2;LGALS3;PRKCA;NTN1;ROBO1;AJUBA;PDGFB;DPYSL3;IL1A;SEMA3C;TBCCD1;RCC2;ACKR3;SMAD7;MTA2;TRIP6;CLASP1;TRIB1;CREB3;CXCL5;CITED2;JUN;GLIPR2;ZNF703;CCR6;GPNMB;ZSWIM6;ACTN4;BMP7;PHLDB2;MYADM;DAG1;WNT4;CXCL8;EFNA1;CLDN7;CXCL3;CARD10;SWAP70;TBXA2R;MCAM;IL6R;CCL5
955,GO:0002376,5.03358842552244e-12,1,215,1853,immune system process,BP,IL32;KRT1;MAFB;SAA1;FTL;CCL20;FTH1;MMP9;RUNX1;PTGER4;INHBA;HDAC9;S100P;FN1;C1R;ACTG1;IL16;TAP1;IL1R2;PML;CYLD;SDC4;RELB;TFRC;CD83;HLA-B;CSF2;MAP3K14;FBN1;TGFB2;EDN1;GBP1;TRIM56;IKBKE;BIRC3;MID1;DAPK3;B4GALT1;MGAM;RSAD2;G6PD;TRAF3;EMP2;HRNR;NLRC5;TP53;SIPA1L3;NFE2L1;SQSTM1;IL27RA;FST;NFKB1;CDKN2B;LFNG;CDKN1A;TJP2;LYN;RAB32;AHR;JUNB;PLEKHO2;ARPC4;LAMP1;TNF;BAIAP2;EFNB2;CXCL16;PDPN;FGFR2;PBX1;NFKB2;PSMB9;SLC7A5;QPCT;SIRPA;ZC3H12A;LCP1;TNK1;ARMC6;SART1;ACAA1;EPHA2;TSC22D3;ICAM1;FANCC;CD274;ITGAV;L1CAM;KIF23;MYO10;CDC42EP2;RNF19B;IL20;MTUS1;IFNGR1;SERPINE1;PABPC4;ARPC1B;EBP;XAF1;RELT;LIF;SFRP1;TRIM22;HLA-F;WDR1;IRF1;PSME2;IL7R;PSPC1;THBD;GPER1;SRF;ELF4;TRIM29;NFKBIA;EGR1;DOCK10;ETS1;RRS1;ZFP36L1;AKAP8;ADAM17;TXLNA;VCL;IRS2;LGALS3;TRAF2;IL15;PRKCA;ZFP36L2;SYK;CMTM3;SLC7A2;DDX17;IFIT3;PDGFB;DCTN1;DNASE1;MYH9;SPPL2A;TAPBPL;COL17A1;IL1A;GLIPR1;TNFRSF21;TNIP2;RASGRP4;RBBP5;SEMA3C;SFPQ;LILRB3;SMAD7;CRCP;TAPBP;PQBP1;TRIB1;CREB3;THOC1;KLF10;PARP14;CXCL5;GALNT2;CAB39;CITED2;CD109;SOCS1;HSPA8;JUN;ESR1;IKZF3;FOXN1;COMMD9;CCR6;RHOG;GPNMB;XRCC6;GP6;KLF6;TAP2;HMGN2;EFNB1;PHLPP1;TNFRSF10A;RAPGEF1;ZYX;TINAGL1;KIF22;POLR3H;RAB27A;BLNK;WNT4;RBM14;TUBB;CD38;TNFAIP3;PSMC3;SPG21;CCL22;CXCL8;CTPS1;MYO1E;SLC3A2;CXCL3;PTPRB;CLTA;HSP90AB1;SWAP70;HERC6;IL6R;LAIR1;PARP1;IL36G;C1S;CCL5
2486,GO:0005730,8.78910199246127e-12,1,117,834,nucleolus,CC,MAP2;NFKBIE;PML;TFCP2L1;RBM19;GPRC5A;CD3EAP;MAP3K14;TXNRD1;RSAD2;NUAK1;TP53;PDCD11;TAF4B;CDKN1A;GNL3L;PKMYT1;SCD;PPAN;RRP1;ENC1;VMP1;NUP153;DNAJB1;C9ORF3;TYMS;FLNA;DDX23;CDK4;MYO10;RRP12;DAXX;NAT10;MTUS1;USP36;AEN;GRWD1;APTX;DHX37;PWP2;METTL1;DDX42;NFX1;PSPC1;TFIP11;NSUN2;RRP36;TXN2;LARP4B;EDF1;GEMIN4;POP1;RRS1;CD2BP2;AKAP8;DKC1;FEN1;ISG20L2;CBX5;URB2;TSR1;PUM3;POLR1A;DDX17;SENP3;DDX47;DDX49;DNTTIP2;FILIP1;UBTF;UTP14A;POLA1;UTP20;RPS9;NSUN5;SPTBN1;RRP7A;NOM1;RBBP5;DDX39A;NOP16;FTSJ3;WDR46;RCC2;NOP56;SMAD7;NOL9;ABT1;ORC1;DNTTIP1;RRP7BP;ARL6IP4;HSPA8;TCOF1;PES1;PAK1IP1;NOP2;NOP14;NOC2L;RBM4;XRCC6;KLF6;SMUG1;TRA2A;MPHOSPH8;EEF1D;RBM14;POLR1E;DDX24;SURF6;UTP4;NOL3;MKI67;POP4;PARP1;ORC4;APEX2
12422,GO:0048870,2.82182464322475e-11,1,129,951,cell motility,BP,IGFBP3;SAA1;CCL20;NRG1;MMP9;KRT2;CYR61;PTGER4;HDAC9;S100P;FN1;CYP1B1;CTGF;TNS3;AMOT;IL16;PML;HSPB1;STARD13;SDC4;SOD2;IER2;TGFB2;EDN1;DAPK3;B4GALT1;EMP2;TP53;MARVELD3;IL24;NEDD9;ADAMTS9;LYN;TNF;EFNB2;CORO1C;CXCL16;WWC1;DST;PDPN;SLC7A5;SIRPA;ZC3H12A;FLNA;LCP1;TNK1;EPHA2;ICAM1;CD274;BMP2;ITGAV;L1CAM;STAT5A;TNFRSF12A;MTUS1;SERPINE1;AMOTL2;SFRP1;TPM1;WDR1;EPPK1;THBD;GPER1;SRF;DOCK10;ETS1;SGK1;SNAI2;RHOB;ADAM17;FGFR1OP;VCL;IRS2;LGALS3;PRKCA;NTN1;SYK;ROBO1;AJUBA;PDGFB;DPYSL3;MYH9;IL1A;SEMA3C;TBCCD1;RCC2;ACKR3;BAMBI;SMAD7;MTA2;TRIP6;CLASP1;TRIB1;CREB3;PPP1R9B;CXCL5;CITED2;JUN;FOXN1;GLIPR2;ZNF703;CCR6;LAMC1;RHOG;GPNMB;GP6;ACTN4;EFNB1;BMP7;TNFRSF10A;PHLDB2;MYADM;DAG1;WNT4;CCL22;CXCL8;EFNA1;CLDN7;SLC3A2;CXCL3;CARD10;SWAP70;TBXA2R;MCAM;TTLL5;IL6R;BIN3;PHACTR4;CCL5
