"","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3","fpool2_TNIP1orf_IL17_24h1","fpool2_TNIP1orf_IL17_24h2","fpool2_TNIP1orf_IL17_24h3","fpool_TNIP1orf_IL17_24h1","fpool_TNIP1orf_IL17_24h2","fpool_TNIP1orf_IL17_24h3"
"AARS",166.708349927276,162.365416569348,159.987338142579,137.293642290033,135.534044643861,146.645351975844,208.820553739259,194.968911567925,199.028419989494,143.056042702263,161.170226751264,147.938762766003
"AARS2",36.5254461743855,37.7947791279375,38.6266780673859,38.4459676203436,36.9215501293493,36.0645430832824,37.7532360960732,38.4180158711549,36.1577886648028,35.0468712115922,37.0395205363616,35.3393722420227
"AARSD1",16.4137684351585,16.9733459540619,16.6903694722908,18.6452011936191,19.6384839980976,18.0549346395151,16.0591152507943,16.7691976357795,16.8879086954038,17.3707114606906,20.4973485820352,17.4324683038962
"AASDH",9.07293732596703,9.05344551328258,9.60835165650486,11.7586570341668,12.7372596748548,13.1597054987595,9.50012490525109,9.81681784343485,10.7991618995173,14.435751802577,13.076561163272,13.6126531975296
"AASDHPPT",34.0372618471127,34.3941439104277,33.850112445043,39.7889218101688,40.837244799711,37.3185678323031,30.5435522638689,31.2497236628989,32.9996694475957,41.0894352135908,32.5690114490164,38.4657814214374
"AASS",30.9442150314421,32.6938263016728,33.2702981209435,23.2206148868607,23.6591972994652,24.7027766825164,33.9531861339727,32.7611105742782,33.0264331697755,23.8515273573397,22.9838276997806,25.4857090695482
"AATBC",2.84560307041693,2.75928734754082,2.60916445844744,5.85590489749344,5.68600873588922,5.4542522216443,2.3294826822465,2.63413147411815,2.78342710669096,4.56844399271986,5.41099082618152,4.70786129351558
"AATF",56.4721614167766,55.1260866838425,55.6759802165001,56.8725483644563,54.6396934461967,52.4575172120472,50.715050350361,51.5454907585634,49.7403776710111,53.0417596131486,56.4804375761423,50.8984280415225
"AATK",0.879799983124076,1.40201627388561,0.993967412741882,0.874481798025687,0.870154371191491,1.16337235752524,1.15823440625664,1.28108033440719,1.16422191481785,1.16867171906787,1.03066491927267,1.35031680511687
"ABALON",12.1659841416376,13.408645002374,12.6040589976853,15.3658944510228,15.2126988342788,18.0096084437673,15.2392414576014,15.1714457580357,14.8137202264755,15.7505074865284,18.8225180882171,17.0796828322891
"ABAT",9.01794982702178,8.72531404492638,8.8490709939937,9.41629507516945,9.5266900983896,10.5458948773067,9.13573655272091,9.0683214682756,9.03275623565577,8.6056735676816,9.6882502411631,10.0604684489338
"ABCA1",59.6614363556014,62.0019324525794,61.4465132515849,26.9840097676498,28.4600490025907,28.0871326316808,64.4707106583752,63.5358269221722,61.9580168460537,28.2074855829564,27.4801034101076,28.3323228749297
"ABCA11P",5.43001552084391,6.10026229807673,6.08805040304402,6.96462289141886,7.53133610927808,6.96512541323552,5.58295011555167,6.27585422248914,5.9816919071676,7.62292689482907,7.65268702559958,7.2990097573885
"ABCA12",46.5606647318945,42.7764114202544,31.3928041190978,86.1208413591369,84.3449633592855,95.2454459979105,24.3879918800555,24.8731103129845,26.1749202917669,116.322677128585,114.803188695485,126.455344046756
"ABCA13",1.33344684942243,1.53625187457678,1.43573070729383,1.79581083523132,1.60528478823258,1.57130811925487,1.43152567065427,1.33865697865021,1.44524099770492,1.55380217194251,1.5331140674181,1.48413198400233
"ABCA2",3.78039055248626,3.17690921635781,2.77482569390442,2.7639871116169,2.74548706772488,3.18794243425747,4.32060475142926,4.31824831822648,3.88073971605952,3.81146344741454,4.88277505505428,4.33074578938384
"ABCA5",10.4613716743347,11.2907055248022,11.6929222026719,9.74422574942908,11.0569615787608,12.1172029965616,10.3069848287108,10.4789492522296,11.6689828703583,11.4742314235755,8.90236824021769,12.2136763273634
"ABCA7",17.224834044601,17.5401184903135,18.5264481652723,19.4572200060715,17.3880847622575,20.9407024354543,21.2386354046161,21.1018401150667,21.3708321605071,20.385353281468,23.769709700726,22.9797157195115
"ABCA9",1.78709371572078,1.58099707480717,1.78085828116254,1.65526911769148,1.80031938867205,1.61663431500261,1.79591402318445,1.9144234210804,1.88684241367032,1.9256522643732,1.86808016618172,1.95856761823258
"ABCB10",24.2082464106484,24.3115587918461,25.2633384071895,20.0506183690175,21.8288725876486,22.3307057717182,23.2557852132653,23.9950664882784,23.6858941290529,22.0188376160742,19.9433661879262,21.9578543534771
"ABCB5",1.47091559678556,1.9837038768807,1.67041745752455,1.60842187851153,1.60528478823258,1.13315489369341,1.79591402318445,1.62654019986531,1.73964194168185,1.43427892794693,1.49446413294537,1.38681185390382
"ABCB6",8.55055608598711,8.87446471236101,10.0225047451473,7.91718342141113,8.11643991059649,8.18893269842441,8.9405285067226,9.68727039388806,9.09966554110507,7.63620725527302,7.92323656690865,7.85860050545495
"ABCB7",14.5304465962836,14.7808311427727,15.1994183531779,17.3178627501873,17.4480954085466,18.5081965969924,15.512532721999,15.4161464960685,15.0947393093625,17.7558419135653,16.3489222819627,17.3959732551093
"ABCB8",39.9209242342549,37.6754585939898,38.7923393028429,33.2615398177627,29.7652805593779,31.9096418064066,38.5600960195328,39.4400013064685,37.4959747737888,29.9737735220021,33.741392794689,31.0207914689011
"ABCB9",8.50931546177817,7.97956070775318,8.62818934671772,7.60486849354481,6.97623763110419,7.59969215370383,8.83641754885684,8.89559153554654,8.63130040295996,7.17139463973467,7.36925417279959,7.01921438335528
"ABCC1",127.969656920344,122.333377429891,123.376205106586,106.280769952908,99.6176728398534,106.093515513535,119.623490587764,118.723040429107,117.198339424997,98.234826203921,104.470772879776,103.804083766327
"ABCC10",29.2945900630845,30.0389444213363,29.791412176347,22.9239157053877,22.6240136509788,22.8746201206911,30.3093026086709,29.6375776240944,29.3196576478841,22.6164538360521,24.8647911774532,22.614765231642
"ABCC2",1.78709371572078,1.95387374339377,2.12598585503125,1.90512105998453,1.56027680351578,1.7375041703299,2.23838559411396,2.46140154138909,2.46226244053431,1.69988613682599,1.9969132810908,1.93423758570795
"ABCC3",32.9237649934713,31.2619798943003,32.9113654441201,21.456035544416,21.8438752492209,24.2495147250391,40.2258713453851,39.2240888905571,40.5336572411872,19.9072603054857,25.1353407187623,23.7339467277749
"ABCC4",31.5903181440489,33.1561933707202,31.378999016143,25.5161296066781,26.9147748606471,24.6574504867687,27.7846118804261,27.723154203014,28.8245287875593,24.4358632168737,21.2059307140352,22.9797157195115
"ABCC5",35.2194930744357,34.8415959127316,37.3842188014586,33.5270075064491,31.2055360703155,33.390297534166,33.6798948695751,34.416439096265,33.2137792250335,31.5275756939446,31.2677969884346,31.6898673633284
"ABCC9",122.635869522654,126.673661852239,126.606599197997,123.879716138175,127.537626025842,130.917162051379,129.162657102215,124.610252302955,123.6617783314,136.615067886945,99.13708192254,140.907383366385
"ABCD1",2.74937494726274,2.99792841543624,2.38828281117147,1.70211635687143,1.47026083408217,1.96413514906859,2.98017616890753,3.2242920776091,2.8369545510504,1.91237190392924,2.71837872458167,2.05588774833109
"ABCD3",36.9790930406838,37.9737599288591,37.9502280226032,42.224978247526,43.7927691294476,42.2289057049746,35.5669059808921,35.5247894979431,37.3487743018004,43.9978341508166,36.2149886009435,43.0519925523298
"ABCD4",10.6263341711705,10.7090179218071,11.6929222026719,10.5718603082748,10.9219376246104,10.9840481028682,11.6213856717661,11.4865405264824,11.7358921758076,10.757091959602,11.6336302762903,10.7295443433611
"ABCE1",129.674269387647,135.950833366673,133.619591499009,151.019883369757,161.728691749039,151.827647023002,114.39191495501,116.3048213709,121.413625668303,152.644462942797,115.460237581521,140.420782715892
"ABCF1",88.7635701723775,84.8070695033357,85.5640281135303,91.7893572999105,86.6403705798424,84.6391161929401,74.9729035330843,75.7708638238139,75.9019161016882,78.0088372477804,80.9587294088683,74.2309292326411
"ABCF2",100.036007456155,97.7235173031754,96.5114747566458,108.841752361411,102.813239754746,100.820568074882,87.9477316571053,88.3081781077314,87.611044555316,89.3502650669164,93.0690422103222,87.4907969585635
"ABCF3",34.1747305944758,31.7243469633477,32.7180940027536,33.1834610857962,32.1206984262238,31.5319235085088,31.844939237191,32.0126141991189,30.3768246739831,29.2964751393605,32.8910942362891,29.5853195499481
"ABCG1",3.72540305354101,3.17690921635781,3.28561450323011,5.34058526651402,5.85103801318416,6.27012374510356,3.80004996210044,3.69929939261401,3.72015738298119,10.0532328560725,12.1360794244357,10.9728446686074
"ABCG2",5.97989051029645,6.14500749830712,5.38399015235186,5.38743250569396,5.40095816601615,5.10675138757832,4.85417341049131,4.75007315004912,5.32598071376444,4.46220110916824,3.59444390596344,3.72249497626814
"ABHD10",13.3757091184332,13.6174559367825,13.8879335724768,14.3196394426706,14.2375258320815,14.7612310818462,14.094020921078,14.6676501209093,15.4159039755192,15.6708253238646,14.0299262135992,15.2427653766797
"ABHD11",15.4652340783529,15.496754346459,17.0907174579785,13.5232363766115,12.917291613722,12.1927466561411,16.9310445229201,15.6608472341013,15.6032500307772,12.5632209799796,12.4968121461811,12.4204816038228
"ABHD12",23.7271057948774,21.9400631796354,22.4056820955566,22.049433907362,22.2039391269553,22.1494009887273,21.7982318031446,21.6056357521931,21.1299586608896,21.3946606752084,23.1384274376715,22.1524946136741
"ABHD13",12.5234028847818,12.797127265892,12.452202865183,13.1796899559586,14.3275418015151,15.0029707925008,11.2439834495027,11.0835040167813,12.3782215081209,15.9098718118558,9.8299666675631,14.598019514777
"ABHD14A",2.35071557990964,2.11793947757187,1.6842225604793,1.90512105998453,1.89033535810565,1.4806557277594,2.57674620717769,2.47579570244985,2.19462521873711,2.04517550836878,2.22881288792715,2.10454781338035
"ABHD14B",15.8089059467607,14.6913407423119,14.3987223818025,15.3034314654495,14.9126456028335,16.7555836947466,18.2194176265089,18.5684677683738,17.1020184728416,16.0161146954074,18.9127012686535,18.6732999626523
"ABHD15",15.1765497088903,14.7211708757989,13.5704162045176,11.5868838238404,12.2121665198254,11.0142655667,13.5344245225495,14.6964384430308,14.7334290599363,13.0413139559619,13.2955774586174,12.4813066851343
